project_id,industry,team_size,budget_k,duration_months,complexity,vendor_count,risk_score,stakeholder_engagement,actual_cost_k,success,satisfaction
P0116,Finance,9,81,22,8.95,4,0.01,1,108.27,0,0.63
P0117,Healthcare,16,366,18,3.26,2,0.08,4,371.77,1,9.27
P0118,Technology,9,283,8,3.44,2,0.95,5,413.81,0,10.0
P0119,Retail,9,265,23,8.22,3,0.47,1,418.3,0,1.37
P0120,Finance,8,275,21,3.58,4,0.79,4,379.93,0,8.42
P0121,Retail,20,389,8,9.35,0,0.48,5,589.04,0,8.18
P0122,Healthcare,12,137,7,7.28,3,0.06,3,182.28,0,5.91
P0123,Finance,6,199,9,3.81,1,0.34,4,214.35,1,9.47
P0124,Finance,14,189,15,9.21,0,0.03,2,277.93,0,2.95
P0125,Technology,6,178,15,5.75,2,0.14,3,213.16,0,5.2
P0126,Healthcare,9,257,4,4.64,0,0.71,3,368.23,0,7.2
P0127,Technology,11,488,22,5.61,2,0.93,1,720.11,0,1.0
P0128,Healthcare,8,150,13,9.17,5,0.92,5,266.37,0,10.0
P0129,Retail,14,425,18,2.77,0,0.89,3,527.14,0,7.16
P0130,Retail,16,335,10,6.79,2,0.47,2,478.96,0,3.27
P0131,Retail,14,341,23,1.34,5,0.35,2,341.7,1,6.21
P0132,Healthcare,18,98,10,2.13,2,0.35,5,103.11,1,10.0
P0133,Technology,4,372,19,8.17,5,0.0,4,493.62,0,6.24
P0134,Healthcare,4,125,9,1.82,1,0.27,3,129.48,1,6.84
P0135,Manufacturing,16,140,19,1.95,2,0.49,4,159.39,1,10.0
P0136,Finance,20,264,16,2.75,2,0.59,1,297.74,0,2.43
P0137,Finance,14,343,20,8.57,0,0.35,5,505.64,0,9.61
P0138,Retail,10,100,9,5.63,2,0.23,3,141.79,0,6.64
P0139,Retail,20,81,23,3.96,0,0.04,5,79.9,1,10.0
P0140,Retail,10,381,19,3.84,2,0.24,1,412.94,1,5.91
P0141,Healthcare,8,237,21,5.07,2,0.92,1,342.49,0,0.66
P0142,Finance,7,478,20,1.96,4,0.39,5,492.12,1,10.0
P0143,Retail,7,285,5,3.03,3,0.33,5,349.29,0,9.41
P0144,Manufacturing,14,194,21,1.31,3,0.97,5,229.17,0,9.57
P0145,Technology,19,337,13,9.51,1,0.85,3,554.95,0,8.24
P0146,Healthcare,15,294,15,8.03,1,0.86,5,465.49,0,10.0
P0147,Manufacturing,4,140,21,6.53,1,0.43,4,177.57,0,7.78
P0148,Retail,8,355,15,6.0,1,0.44,1,467.63,0,2.33
P0149,Healthcare,17,306,7,5.96,2,0.83,5,439.86,0,8.95
P0150,Finance,10,493,14,1.03,1,0.2,3,458.61,1,8.29
P0151,Technology,6,125,13,2.04,2,0.29,2,123.53,1,4.84
P0152,Technology,18,333,7,4.49,0,0.49,5,404.26,0,10.0
P0153,Manufacturing,17,93,9,1.07,0,0.27,5,87.88,1,10.0
P0154,Finance,14,257,22,3.43,3,0.15,5,273.15,1,9.76
P0155,Technology,7,250,12,4.33,1,0.23,5,303.73,0,8.85
P0156,Retail,15,419,11,5.76,2,0.17,2,542.0,0,1.86
P0157,Healthcare,15,397,10,9.86,4,0.78,1,674.76,0,2.17
P0158,Technology,14,363,15,8.33,1,0.95,4,579.41,0,8.41
P0159,Technology,14,115,17,7.94,3,0.68,2,212.58,0,3.4
P0160,Technology,14,51,12,3.26,1,0.29,4,42.95,1,10.0
P0161,Healthcare,16,487,9,5.61,3,0.6,4,652.42,0,6.4
P0162,Retail,7,151,11,2.58,2,0.49,2,178.05,0,3.2
P0163,Technology,6,333,18,9.91,1,0.77,5,580.44,0,10.0
P0164,Retail,10,305,7,5.33,1,0.35,3,409.16,0,5.77
P0165,Healthcare,11,75,4,6.47,1,0.41,1,82.07,1,4.5
P0166,Finance,17,95,4,1.75,1,0.14,2,86.92,1,5.36
P0167,Technology,9,172,19,8.99,1,0.06,3,256.1,0,6.55
P0168,Finance,7,148,19,8.99,1,0.5,5,239.88,0,8.46
P0169,Manufacturing,15,195,10,2.17,0,0.58,1,251.28,0,1.43
P0170,Finance,9,461,8,7.27,2,0.76,3,699.87,0,5.04
P0171,Finance,13,449,9,6.53,2,0.61,2,656.23,0,4.05
P0172,Healthcare,6,177,5,2.29,1,0.54,3,193.94,0,5.68
P0173,Technology,13,85,10,7.88,5,0.78,4,118.53,0,7.89
P0174,Healthcare,12,309,10,2.03,2,0.94,1,397.13,0,1.86
P0175,Technology,13,66,20,6.55,3,0.66,2,99.73,0,2.87
P0176,Retail,18,365,7,3.25,2,0.17,3,380.77,1,6.63
P0177,Technology,9,118,12,3.41,4,0.76,2,147.67,0,3.76
P0178,Retail,16,234,8,3.41,0,0.82,1,330.0,0,1.03
P0179,Healthcare,12,225,16,4.8,3,0.03,5,244.55,1,10.0
P0180,Finance,5,323,21,9.49,3,0.97,4,582.11,0,7.99
P0181,Finance,10,457,4,5.79,0,0.39,4,605.24,0,6.65
P0182,Technology,4,399,6,3.01,2,0.77,4,498.63,0,7.81
P0183,Healthcare,10,476,15,5.8,1,0.87,3,715.94,0,7.03
P0184,Finance,5,402,3,4.29,1,0.34,5,467.61,0,9.18
P0185,Technology,6,280,9,5.26,2,0.61,3,352.43,0,7.07
P0186,Healthcare,13,119,18,4.73,1,0.18,5,120.31,1,10.0
P0187,Finance,20,277,16,3.08,2,0.03,1,277.35,1,3.87
P0188,Finance,3,58,6,6.8,1,0.79,2,71.49,0,3.73
P0189,Retail,20,100,13,3.88,2,0.46,4,150.99,0,7.08
P0190,Healthcare,13,51,13,7.42,3,0.03,4,50.24,1,9.18
P0191,Finance,18,215,6,2.62,4,0.96,3,279.28,0,5.18
P0192,Finance,10,405,18,6.67,3,0.21,2,533.46,0,3.66
P0193,Healthcare,10,121,8,2.05,2,0.84,5,153.8,0,10.0
P0194,Healthcare,3,432,11,9.01,0,0.11,1,610.33,0,3.2
P0195,Retail,16,341,11,9.62,1,0.42,4,560.21,0,8.13
P0196,Technology,8,97,15,3.51,2,0.65,1,130.94,0,2.04
P0197,Retail,10,219,16,9.08,1,0.25,4,317.4,0,9.15
P0198,Finance,20,234,14,1.05,1,0.78,2,253.5,0,1.72
P0199,Finance,18,386,11,6.73,0,0.32,2,518.85,0,3.84
P0200,Technology,9,437,16,5.76,3,0.77,5,651.88,0,9.92
P0201,Healthcare,18,494,3,9.27,2,0.78,5,839.72,0,10.0
P0202,Healthcare,15,290,21,7.19,2,0.64,5,419.94,0,8.33
P0203,Technology,9,438,19,4.1,4,0.82,5,573.7,0,9.44
P0204,Retail,6,294,15,6.22,4,0.83,4,460.89,0,7.31
P0205,Technology,12,342,14,1.41,4,0.12,4,314.17,1,10.0
P0206,Technology,15,452,3,2.71,3,0.37,4,483.86,1,8.79
P0207,Technology,7,185,13,8.31,2,0.63,1,293.97,0,3.67
P0208,Finance,10,60,16,9.32,2,0.29,2,93.98,0,4.35
P0209,Technology,10,335,7,4.6,4,0.23,4,391.34,0,8.65
P0210,Finance,16,311,4,7.99,0,0.46,3,454.6,0,5.6
P0211,Manufacturing,7,216,20,5.92,1,0.37,2,283.87,0,2.15
P0212,Technology,10,414,12,4.92,4,0.57,2,523.96,0,4.15
P0213,Technology,9,195,19,7.97,0,0.41,1,295.76,0,2.33
P0214,Manufacturing,9,398,13,4.59,3,0.47,1,492.63,0,3.24
P0215,Manufacturing,19,468,4,9.11,5,0.36,3,702.03,0,6.17
P0216,Technology,19,374,8,3.82,3,0.08,2,390.9,1,5.57
P0217,Healthcare,4,239,14,6.18,3,0.55,4,334.54,0,7.73
P0218,Retail,11,145,6,1.4,1,0.5,1,148.36,0,3.37
P0219,Technology,17,490,9,6.36,2,0.88,4,766.24,0,6.91
P0220,Finance,9,450,3,7.52,1,0.85,2,738.04,0,3.6
P0221,Finance,3,339,23,2.39,1,0.76,4,416.34,0,7.18
P0222,Technology,6,461,6,5.77,2,0.47,3,585.74,0,5.37
P0223,Finance,8,495,5,5.98,0,0.19,4,638.45,0,9.8
P0224,Retail,13,116,19,9.64,3,0.17,5,173.63,0,10.0
P0225,Healthcare,20,284,13,6.92,3,0.49,3,368.54,0,8.13
P0226,Manufacturing,14,227,23,1.04,2,0.29,2,224.99,1,4.51
P0227,Finance,8,247,12,9.9,2,0.22,2,387.72,0,4.87
P0228,Finance,16,99,23,9.14,1,0.46,2,140.89,0,4.04
P0229,Finance,4,395,12,1.95,2,0.71,4,456.96,0,8.15
P0230,Healthcare,11,450,6,5.69,1,0.39,4,559.82,0,8.66
P0231,Retail,15,402,10,5.09,2,0.61,1,546.56,0,3.17
P0232,Retail,4,440,5,1.15,2,0.55,2,495.99,0,3.35
P0233,Retail,17,123,7,2.43,1,0.69,4,139.43,0,9.27
P0234,Manufacturing,13,298,21,4.45,5,0.72,5,373.4,0,9.79
P0235,Healthcare,14,478,23,4.05,2,0.17,4,556.78,0,7.44
P0236,Retail,16,348,3,5.03,6,0.67,5,522.92,0,8.08
P0237,Finance,15,431,5,2.83,3,0.58,5,490.57,0,10.0
P0238,Finance,9,69,14,5.5,1,0.6,4,77.24,0,8.03
P0239,Retail,4,211,11,4.2,5,0.83,1,276.38,0,2.5
P0240,Finance,5,454,16,5.18,1,0.76,1,630.44,0,2.74
P0241,Retail,15,164,15,4.89,1,0.31,1,193.97,0,1.57
P0242,Technology,10,85,13,2.62,2,0.46,2,100.64,0,5.02
P0243,Finance,20,153,11,9.65,0,0.1,2,203.38,0,5.0
P0244,Manufacturing,16,211,17,3.0,2,0.39,1,254.34,0,0.99
P0245,Healthcare,4,294,11,5.98,5,0.21,4,387.38,0,8.39
P0246,Technology,11,377,11,3.91,3,0.65,1,447.89,0,0.43
P0247,Finance,3,141,15,9.82,3,0.3,3,237.21,0,4.97
P0248,Technology,9,181,11,3.1,4,0.88,4,235.99,0,9.58
P0249,Manufacturing,10,143,4,4.21,0,0.66,2,177.01,0,4.08
P0250,Technology,6,403,9,3.72,1,0.87,2,552.85,0,4.75
P0251,Manufacturing,13,62,19,9.26,1,0.18,1,115.63,0,1.67
P0252,Finance,17,210,17,6.43,1,0.7,5,297.82,0,10.0
P0253,Retail,6,292,4,3.98,2,0.07,2,298.0,1,6.23
P0254,Manufacturing,9,333,5,3.13,1,0.12,2,340.49,1,6.37
P0255,Finance,13,150,10,9.74,6,0.46,2,245.22,0,4.11
P0256,Healthcare,18,359,10,4.32,2,0.25,1,423.15,0,2.96
P0257,Healthcare,4,156,21,9.41,1,0.59,5,225.73,0,10.0
P0258,Finance,16,353,7,2.57,3,0.93,4,470.36,0,8.74
P0259,Healthcare,8,394,14,2.39,4,0.69,1,467.86,0,0.88
P0260,Finance,20,326,8,3.47,1,0.97,4,446.81,0,7.78
P0261,Healthcare,12,286,8,2.16,0,0.91,3,346.99,0,7.07
P0262,Healthcare,13,281,11,1.84,1,0.82,2,340.28,0,3.58
P0263,Manufacturing,18,436,3,3.85,0,0.45,5,513.86,0,10.0
P0264,Finance,16,230,23,1.09,1,0.8,5,271.04,0,10.0
P0265,Healthcare,3,211,22,9.77,2,0.64,3,358.45,0,4.78
P0266,Healthcare,20,279,12,4.87,1,0.5,2,354.98,0,3.06
P0267,Technology,19,59,13,1.09,1,0.43,4,59.67,1,10.0
P0268,Finance,5,456,18,5.18,4,0.16,5,532.87,0,9.11
P0269,Finance,19,388,16,3.3,3,0.81,5,493.93,0,10.0
P0270,Finance,9,319,9,4.73,1,0.74,4,432.61,0,8.34
P0271,Technology,12,179,16,7.73,1,0.55,1,280.2,0,1.85
P0272,Finance,19,299,19,4.44,3,0.84,2,410.31,0,2.16
P0273,Technology,14,252,5,5.8,0,0.24,4,309.55,0,8.85
P0274,Technology,8,260,3,1.69,2,1.0,2,309.87,0,3.78
P0275,Healthcare,6,183,20,2.46,2,0.87,5,218.94,0,10.0
P0276,Manufacturing,10,434,8,3.46,2,0.57,1,529.41,0,2.34
P0277,Manufacturing,7,466,20,4.26,2,0.4,4,579.5,0,9.17
P0278,Retail,16,198,23,1.73,1,0.19,4,175.57,1,10.0
P0279,Finance,8,429,11,6.09,2,0.24,3,572.95,0,5.46
P0280,Finance,10,330,4,6.82,1,0.09,2,400.05,0,2.87
P0281,Retail,9,239,22,6.03,3,0.48,4,286.46,0,6.47
P0282,Retail,17,166,19,3.91,0,0.54,5,202.08,0,7.96
P0283,Finance,11,223,16,1.16,1,0.59,4,253.95,0,8.77
P0284,Manufacturing,11,157,5,4.84,1,0.88,1,232.67,0,1.03
P0285,Retail,19,209,21,4.91,1,0.43,1,249.83,0,2.19
P0286,Manufacturing,6,439,21,1.03,0,0.73,2,477.47,0,4.15
P0287,Retail,16,233,4,5.27,3,0.91,1,356.79,0,4.18
P0288,Technology,3,362,23,2.84,4,0.59,5,428.23,0,10.0
P0289,Retail,9,95,15,3.85,2,0.59,4,112.97,0,7.77
P0290,Finance,11,230,5,1.25,2,0.44,5,233.89,1,10.0
P0291,Technology,4,195,14,9.27,2,0.66,5,336.48,0,8.93
P0292,Manufacturing,7,286,15,7.36,2,0.29,4,392.19,0,8.74
P0293,Manufacturing,6,302,3,2.84,2,0.96,3,376.33,0,6.51
P0294,Technology,14,303,11,3.89,2,0.96,2,394.43,0,4.4
P0295,Manufacturing,18,355,16,4.06,0,0.78,3,472.47,0,6.88
P0296,Technology,14,96,11,4.53,2,0.77,3,124.05,0,7.07
P0297,Manufacturing,13,361,11,9.4,1,0.0,1,481.06,0,3.24
P0298,Finance,18,259,15,3.61,0,0.64,4,348.9,0,7.45
P0299,Manufacturing,20,203,11,4.22,0,0.01,3,234.72,0,7.32
P0300,Technology,6,481,16,9.54,1,0.97,3,826.45,0,7.13
P0301,Retail,18,478,7,9.84,1,0.66,1,830.41,0,2.48
P0302,Finance,6,399,13,6.47,2,0.63,5,578.51,0,8.34
P0303,Manufacturing,3,375,9,9.78,2,0.74,5,645.02,0,10.0
P0304,Healthcare,8,268,4,8.23,1,0.03,3,354.39,0,5.27
P0305,Technology,6,293,23,4.2,3,0.95,1,436.92,0,2.41
P0306,Finance,10,249,20,6.09,3,0.32,5,345.22,0,8.79
P0307,Healthcare,3,435,21,5.22,0,0.41,3,546.7,0,6.73
P0308,Retail,11,167,22,2.69,0,0.3,4,193.03,0,9.11
P0309,Healthcare,13,421,16,4.35,1,0.93,1,590.87,0,2.59
P0310,Manufacturing,4,248,17,3.33,1,0.82,4,317.15,0,7.96
P0311,Healthcare,13,242,9,8.66,4,0.38,1,376.01,0,2.55
P0312,Technology,20,331,12,9.79,3,0.62,1,549.88,0,3.0
P0313,Healthcare,9,271,8,2.92,5,0.15,1,315.28,0,2.36
P0314,Retail,16,467,16,3.7,1,0.76,5,605.86,0,8.24
P0315,Retail,10,447,23,1.22,2,0.23,5,440.47,1,10.0
P0316,Technology,19,149,15,8.23,1,0.19,2,196.52,0,2.81
P0317,Manufacturing,9,86,4,2.03,3,0.18,2,93.17,1,6.58
P0318,Technology,4,327,20,9.06,3,0.62,4,542.52,0,9.57
P0319,Technology,12,250,11,7.28,2,0.1,5,359.49,0,10.0
P0320,Technology,3,411,9,3.16,2,0.96,4,575.08,0,8.81
P0321,Healthcare,6,383,5,2.24,4,0.83,1,480.24,0,1.51
P0322,Finance,15,244,3,2.81,1,0.96,2,304.94,0,4.61
P0323,Healthcare,6,284,19,8.47,1,0.06,2,403.8,0,3.02
P0324,Finance,16,146,13,2.92,2,0.69,1,174.71,0,1.25
P0325,Finance,3,317,13,8.24,0,0.04,2,454.38,0,4.29
P0326,Healthcare,6,282,5,3.59,0,0.58,5,331.17,0,10.0
P0327,Healthcare,14,436,15,2.76,1,0.78,4,522.45,0,7.81
P0328,Finance,9,428,15,6.77,2,0.39,1,592.93,0,1.16
P0329,Manufacturing,3,182,11,9.36,2,0.95,5,337.0,0,7.86
P0330,Technology,19,268,14,5.28,1,0.99,4,412.96,0,7.44
P0331,Technology,17,403,14,8.22,1,0.09,2,549.22,0,1.74
P0332,Healthcare,9,445,19,1.5,1,0.09,1,402.09,1,3.26
P0333,Healthcare,13,474,13,2.3,1,0.99,2,634.36,0,3.29
P0334,Technology,18,445,19,1.22,6,0.57,1,490.91,0,2.22
P0335,Manufacturing,3,156,14,9.14,1,1.0,3,278.26,0,5.98
P0336,Healthcare,10,276,3,8.65,3,0.53,4,417.64,0,8.53
P0337,Finance,10,369,6,5.98,2,0.9,2,538.85,0,4.27
P0338,Finance,15,332,17,4.55,1,0.86,3,466.28,0,5.81
P0339,Finance,14,171,21,8.52,1,0.23,1,249.73,0,1.15
P0340,Healthcare,15,375,15,8.5,2,0.17,1,542.75,0,3.07
P0341,Retail,6,69,5,6.65,3,0.54,3,80.57,0,6.94
P0342,Manufacturing,11,219,3,6.03,0,0.99,5,322.19,0,9.81
P0343,Retail,13,77,20,6.72,3,0.56,5,126.98,0,9.48
P0344,Finance,10,364,9,5.33,1,0.59,2,482.4,0,3.99
P0345,Healthcare,7,210,6,9.17,2,0.08,2,322.89,0,4.57
P0346,Technology,20,59,7,2.99,4,0.67,3,75.68,0,7.43
P0347,Retail,7,180,16,1.17,2,0.55,4,185.01,0,6.93
P0348,Manufacturing,20,462,15,5.08,0,0.88,3,653.11,0,5.22
P0349,Finance,19,409,16,3.52,1,0.12,1,424.14,1,2.87
P0350,Manufacturing,14,329,5,1.82,2,0.12,1,331.09,1,2.56
P0351,Manufacturing,6,491,4,6.66,2,0.92,3,749.67,0,6.33
P0352,Retail,10,204,12,9.18,1,0.46,5,315.84,0,9.41
P0353,Technology,6,190,3,4.38,2,0.04,2,213.02,1,5.23
P0354,Manufacturing,18,495,13,6.82,4,0.6,1,720.55,0,2.71
P0355,Retail,19,491,23,7.94,1,0.04,3,715.97,0,8.32
P0356,Healthcare,18,152,9,8.99,1,0.86,4,262.94,0,7.6
P0357,Technology,12,355,7,1.56,1,0.19,4,364.44,1,10.0
P0358,Retail,18,244,15,3.63,1,0.35,5,277.41,1,10.0
P0359,Finance,14,239,5,9.88,1,0.95,2,440.4,0,4.37
P0360,Healthcare,10,242,15,5.58,4,0.98,2,379.21,0,3.08
P0361,Technology,20,298,22,1.71,2,0.06,5,297.27,1,10.0
P0362,Manufacturing,14,341,5,7.19,1,0.01,1,445.74,0,1.61
P0363,Finance,8,116,22,4.11,1,0.71,1,179.46,0,2.69
P0364,Healthcare,4,370,6,5.27,5,0.61,5,508.56,0,9.55
P0365,Manufacturing,19,277,16,1.85,2,0.45,1,284.55,1,4.33
P0366,Healthcare,11,161,4,6.4,1,0.32,3,211.52,0,4.26
P0367,Finance,16,373,8,9.31,2,0.61,1,604.03,0,1.95
P0368,Retail,6,274,9,7.63,3,0.72,1,427.58,0,2.11
P0369,Healthcare,11,418,9,3.72,3,0.63,1,503.85,0,2.27
P0370,Retail,12,113,11,8.89,0,0.86,4,199.62,0,5.46
P0371,Retail,12,281,18,7.18,1,0.59,3,400.85,0,4.96
P0372,Healthcare,4,286,23,7.92,2,0.53,3,437.88,0,5.6
P0373,Retail,10,243,16,1.2,3,0.96,1,285.92,0,3.75
P0374,Technology,19,434,12,4.69,1,0.26,2,498.26,1,5.72
P0375,Healthcare,19,288,16,4.04,2,0.86,4,403.19,0,6.24
P0376,Manufacturing,16,464,15,2.93,1,0.6,2,548.09,0,4.42
